qseqid	sseqid	sstart	send	sstrand	pident	qcovs	source_file	adjusted_start	adjusted_end
NC_027117.1_pol_8	gb|CM014262.2|	62401928	62399563	minus	96.45	98	GCA_004126475.3_derv_pol	62399063	62402428
NC_027117.1_pol_8	gb|CM014263.2|	68811914	68813723	plus	96.374	75	GCA_004126475.3_derv_pol	68811414	68814223
NC_027117.1_pol_8	gb|CM014267.2|	2703617	2701262	minus	96.095	97	GCA_004126475.3_derv_pol	2700762	2704117
NC_027117.1_pol_8	gb|CM040274.1|	104584535	104586952	plus	99.256	100	GCA_022682395.2_derv_pol	104584035	104587452
NC_027117.1_pol_8	gb|CM040274.1|	198156505	198158880	plus	99.158	100	GCA_022682395.2_derv_pol	198156005	198159380
NC_027117.1_pol_8	gb|CM040277.1|	75491441	75493858	plus	99.793	100	GCA_022682395.2_derv_pol	75490941	75494358
NC_027117.1_pol_8	gb|CM040291.1|	5577760	5580135	plus	99.158	100	GCA_022682495.2_derv_pol	5577260	5580635
NC_027117.1_pol_8	gb|CM040291.1|	76635184	76637601	plus	99.793	100	GCA_022682495.2_derv_pol	76634684	76638101
NC_027117.1_pol_8	gb|CM040301.1|	14451811	14449436	minus	99.242	98	GCA_022682495.2_derv_pol	14448936	14452311
NC_027117.1_pol_8	gb|CM040301.1|	93388165	93385790	minus	99.2	98	GCA_022682495.2_derv_pol	93385290	93388665
NC_027117.1_pol_8	gb|CM076298.2|	45714923	45712509	minus	95.031	99	GCA_038363175.3_derv_pol	45712009	45715423
NC_027117.1_pol_8	gb|CM076298.2|	180641099	180643455	plus	80.975	99	GCA_038363175.3_derv_pol	180640599	180643955
NC_027117.1_pol_8	gb|CM076299.2|	108223675	108226031	plus	80.72	99	GCA_038363175.3_derv_pol	108223175	108226531
NC_027117.1_pol_8	gb|CM076299.2|	215853231	215850841	minus	92.878	99	GCA_038363175.3_derv_pol	215850341	215853731
NC_027117.1_pol_8	gb|CM076300.2|	10703931	10701575	minus	95.121	97	GCA_038363175.3_derv_pol	10701075	10704431
NC_027117.1_pol_8	gb|CM076301.2|	114087860	114090274	plus	94.948	99	GCA_038363175.3_derv_pol	114087360	114090774
NC_027117.1_pol_8	gb|CM076301.2|	181827028	181824659	minus	92.381	99	GCA_038363175.3_derv_pol	181824159	181827528
NC_027117.1_pol_8	gb|CM076302.2|	867772	870162	plus	93.126	99	GCA_038363175.3_derv_pol	867272	870662
NC_027117.1_pol_8	gb|CM076302.2|	105786869	105784455	minus	95.114	99	GCA_038363175.3_derv_pol	105783955	105787369
NC_027117.1_pol_8	gb|CM076302.2|	140162101	140164457	plus	95.078	99	GCA_038363175.3_derv_pol	140161601	140164957
NC_001514.1_pol_6	gb|CM076302.2|	140162128	140164455	plus	75.234	97	GCA_038363175.3_smrv_pol	140161628	140164955
NC_027117.1_pol_8	gb|CM076303.2|	65855544	65857900	plus	80.61	99	GCA_038363175.3_derv_pol	65855044	65858400
NC_027117.1_pol_8	gb|CM076303.2|	65955418	65957774	plus	80.694	99	GCA_038363175.3_derv_pol	65954918	65958274
NC_027117.1_pol_8	gb|CM076303.2|	118285071	118283454	minus	95.303	99	GCA_038363175.3_derv_pol	118282954	118285571
NC_027117.1_pol_8	gb|CM076303.2|	151552287	151554701	plus	94.203	99	GCA_038363175.3_derv_pol	151551787	151555201
NC_027117.1_pol_8	gb|CM076303.2|	151993421	151991031	minus	93.126	99	GCA_038363175.3_derv_pol	151990531	151993921
NC_027117.1_pol_8	gb|CM076304.2|	91104606	91102192	minus	94.907	99	GCA_038363175.3_derv_pol	91101692	91105106
NC_001514.1_pol_6	gb|CM076304.2|	91104579	91102248	minus	75.373	97	GCA_038363175.3_smrv_pol	91101748	91105079
NC_027117.1_pol_8	gb|CM076304.2|	91456095	91453739	minus	95.078	99	GCA_038363175.3_derv_pol	91453239	91456595
NC_027117.1_pol_8	gb|CM076305.2|	59953	57597	minus	80.89	99	GCA_038363175.3_derv_pol	57097	60453
NC_027117.1_pol_8	gb|CM076305.2|	64260185	64262599	plus	94.99	99	GCA_038363175.3_derv_pol	64259685	64263099
NC_001514.1_pol_6	gb|CM076305.2|	64260212	64262543	plus	75.542	97	GCA_038363175.3_smrv_pol	64259712	64263043
NC_027117.1_pol_8	gb|CM076306.2|	83442467	83444823	plus	95.121	97	GCA_038363175.3_derv_pol	83441967	83445323
NC_027117.1_pol_8	gb|CM076306.2|	95439123	95436767	minus	95.206	97	GCA_038363175.3_derv_pol	95436267	95439623
NC_027117.1_pol_8	gb|CM076307.2|	524779	527169	plus	93.085	99	GCA_038363175.3_derv_pol	524279	527669
NC_027117.1_pol_8	gb|CM076307.2|	56903101	56905457	plus	95.163	99	GCA_038363175.3_derv_pol	56902601	56905957
NC_027117.1_pol_8	gb|CM076311.2|	250189	252607	plus	94.254	99	GCA_038363175.3_derv_pol	249689	253107
NC_027117.1_pol_8	gb|CM076311.2|	7167081	7164725	minus	80.797	99	GCA_038363175.3_derv_pol	7164225	7167581
NC_027117.1_pol_8	gb|CM076312.1|	53266	55658	plus	92.594	99	GCA_038363145.1_derv_pol	52766	56158
NC_027117.1_pol_8	gb|CM076313.1|	32801305	32803719	plus	95.114	99	GCA_038363145.1_derv_pol	32800805	32804219
NC_001514.1_pol_6	gb|CM076313.1|	32801332	32803663	plus	75.489	97	GCA_038363145.1_smrv_pol	32800832	32804163
NC_027117.1_pol_8	gb|CM076313.1|	90675689	90673333	minus	95.036	99	GCA_038363145.1_derv_pol	90672833	90676189
NC_027117.1_pol_8	gb|CM076313.1|	103659929	103662285	plus	80.89	99	GCA_038363145.1_derv_pol	103659429	103662785
NC_027117.1_pol_8	gb|CM076315.1|	56308001	56310415	plus	94.865	99	GCA_038363145.1_derv_pol	56307501	56310915
NC_001514.1_pol_6	gb|CM076315.1|	56308028	56310359	plus	75.618	97	GCA_038363145.1_smrv_pol	56307528	56310859
NC_027117.1_pol_8	gb|CM076315.1|	114878862	114881276	plus	94.952	99	GCA_038363145.1_derv_pol	114878362	114881776
NC_027117.1_pol_8	gb|CM076315.1|	165313019	165310663	minus	80.779	99	GCA_038363145.1_derv_pol	165310163	165313519
NC_027117.1_pol_8	gb|CM076316.1|	119333705	119331349	minus	80.763	97	GCA_038363145.1_derv_pol	119330849	119334205
NC_027117.1_pol_8	gb|CM076316.1|	139755305	139757659	plus	94.994	97	GCA_038363145.1_derv_pol	139754805	139758159
NC_001514.1_pol_6	gb|CM076316.1|	139755332	139757657	plus	75.33	97	GCA_038363145.1_smrv_pol	139754832	139758157
NC_027117.1_pol_8	gb|CM076317.1|	65478632	65480988	plus	80.779	99	GCA_038363145.1_derv_pol	65478132	65481488
NC_027117.1_pol_8	gb|CM076317.1|	117749626	117747212	minus	94.99	99	GCA_038363145.1_derv_pol	117746712	117750126
NC_027117.1_pol_8	gb|CM076319.1|	56453983	56456397	plus	94.99	99	GCA_038363145.1_derv_pol	56453483	56456897
NC_001514.1_pol_6	gb|CM076319.1|	56454010	56456341	plus	75.5	97	GCA_038363145.1_smrv_pol	56453510	56456841
NC_027117.1_pol_8	gb|CM076320.1|	314107	316521	plus	94.327	99	GCA_038363145.1_derv_pol	313607	317021
NC_027117.1_pol_8	gb|CM076322.1|	110112483	110110108	minus	92.381	99	GCA_038363145.1_derv_pol	110109608	110112983
NC_027117.1_pol_8	gb|CM076325.1|	3865194	3862839	minus	80.678	99	GCA_038363145.1_derv_pol	3862339	3865694
NC_027117.1_pol_8	gb|CM076325.1|	48422366	48424371	plus	94.619	99	GCA_038363145.1_derv_pol	48421866	48424871
NC_027117.1_pol_8	gb|CM076325.1|	55230415	55228025	minus	93.085	99	GCA_038363145.1_derv_pol	55227525	55230915
NC_027117.1_pol_8	gb|CM076325.1|	55408698	55411116	plus	94.212	99	GCA_038363145.1_derv_pol	55408198	55411616
NC_027117.1_pol_8	gb|CM076326.1|	219824	222239	plus	94.123	99	GCA_038363145.1_derv_pol	219324	222739
NC_027117.1_pol_8	gb|CM076326.1|	26154082	26151726	minus	95.121	99	GCA_038363145.1_derv_pol	26151226	26154582
NC_027117.1_pol_8	gb|CM076326.1|	128297938	128295582	minus	80.89	99	GCA_038363145.1_derv_pol	128295082	128298438
NC_027117.1_pol_8	gb|CM076327.1|	11311096	11308740	minus	94.527	99	GCA_038363145.1_derv_pol	11308240	11311596
NC_027117.1_pol_8	gb|CM076327.1|	21904106	21901716	minus	92.878	99	GCA_038363145.1_derv_pol	21901216	21904606
NC_027117.1_pol_8	gb|CM076328.1|	16846	19185	plus	93.594	97	GCA_038363145.1_derv_pol	16346	19685
NC_027117.1_pol_8	gb|CM076380.2|	147056397	147053983	minus	94.948	99	GCA_038363095.4_derv_pol	147053483	147056897
