Assembly Name	Assembly Accession	Assembly Paired Assembly Accession	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Number of Scaffolds
HLdesRot8A.1	GCA_022682495.2	GCF_022682495.2	Desmodus rotundus					HL8	male		Chromosome	2022-03-24	JAKFFZ01	573
HLdesRot8A.1	GCF_022682495.2	GCA_022682495.2	Desmodus rotundus					HL8	male	GCF_022682495.2-RS_2025_02	Chromosome	2022-03-24	JAKFFZ01	573
mPhyDis1.pri.v3	GCA_004126475.3	GCF_004126475.2	Phyllostomus discolor					MPI-MPIP mPhyDis1	male		Chromosome	2020-05-12	RXPA02	77
mPhyDis1.pri.v3	GCF_004126475.2	GCA_004126475.3	Phyllostomus discolor					MPI-MPIP mPhyDis1	male	NCBI Phyllostomus discolor Annotation Release 101	Chromosome	2020-05-12	RXPA02	77
mArtLit1.hap2	GCA_038363175.3		Artibeus lituratus					mArtLit1	male		Chromosome	2025-04-29	JBAWUR03	312
mCenSen1.hap1	GCA_058972505.1		Centurio senex					mCenSen1	female		Chromosome	2026-07-06	JBZXKZ01	811
mDerPha1.hap2	GCA_051107595.1		Dermanura phaeotis					mDerPha1	male		Chromosome	2025-06-26	JBPCCN01	102
mGarKee1.hap2	GCA_050655445.1		Gardnerycteris keenani					mGarKee1	male		Chromosome	2025-06-02	JBOKGI01	83
mGloMut1.hap1	GCA_039655065.1		Glossophaga mutica					mGloMut1	female	GCA_039655065.1-GB_2025_08_29	Chromosome	2024-05-17	JBCAQL01	81
mArtInt1.hap2	GCA_038363225.1		Artibeus intermedius					mArtInt1	male		Chromosome	2024-04-22	JBAWUT01	187
mCarSow1.hap1	GCA_051307085.1		Carollia sowelli					mCarSow1	female		Chromosome	2025-07-14	JBOBQR01	508
mMicMic1.hap2	GCA_051107335.1		Micronycteris microtis					mMicMic1	male		Chromosome	2025-06-26	JBPFCS01	158
mLopEvo1.hap1	GCA_051307075.1		Lophostoma evote					mLopEvo1	male		Chromosome	2025-07-14	JBOBQC01	311
mStuPar1.hap2	GCA_054855695.1		Sturnira parvidens					mStuPar1	male		Chromosome	2026-01-30	JBRFIH01	703
mPlaHel1.hap1	GCA_051107505.1		Platyrrhinus helleri					mPlaHel1	male		Chromosome	2025-06-26	JBPCCK01	364
CSHL_Jam_final	GCA_021234435.1	GCF_021234435.1	Artibeus jamaicensis	Jamaican fruit bat				MK-2021	male		Scaffold	2021-12-20	JAIVGF01	867
CSHL_Jam_final	GCF_021234435.1	GCA_021234435.1	Artibeus jamaicensis	Jamaican fruit bat				MK-2021	male	GCF_021234435.1-RS_2023_03	Scaffold	2021-12-20	JAIVGF01	867
TTU_PhHast_1.1	GCA_019186645.2	GCF_019186645.2	Phyllostomus hastatus					PE091	male		Scaffold	2021-07-09	JAHKBD01	534
TTU_PhHast_1.1	GCF_019186645.2	GCA_019186645.2	Phyllostomus hastatus					PE091	male	NCBI Phyllostomus hastatus Annotation Release 100	Scaffold	2021-07-09	JAHKBD01	534
mCarPer1.2	GCA_056371365.1		Carollia perspicillata				Costa Rica	EVL-2025			Scaffold	2026-03-27	JBOCUP01	28
MacCal_v1_BIUU	GCA_007922815.1		Macrotus californicus					US035			Scaffold	2019-08-08	VMDR01	1125430
ASM1482457v3	GCA_014824575.3	GCF_014824575.4	Sturnira hondurensis				Veracruz	20B			Scaffold	2022-12-28	VSFL02	25881
ASM1482457v3	GCF_014824575.4	GCA_014824575.3	Sturnira hondurensis				Veracruz	20B		GCF_014824575.4-RS_2026_04	Scaffold	2022-12-28	VSFL02	25881
