qseqid	sseqid	sstart	send	sstrand	pident	qcovs	source_file	adjusted_start	adjusted_end
NC_027117.1_env_10	gb|CM014254.2|	113798858	113797977	minus	95.011	50	GCA_004126475.3_derv_env	113797477	113799358
NC_027117.1_gag_4	gb|CM014254.2|	113801258	113799077	minus	94.147	100	GCA_004126475.3_derv_gag	113798577	113801758
NC_027117.1_env_10	gb|CM014255.2|	89609288	89607686	minus	95.696	91	GCA_004126475.3_derv_env	89607186	89609788
NC_027117.1_gag_4	gb|CM014255.2|	89611532	89609347	minus	94.516	100	GCA_004126475.3_derv_gag	89608847	89612032
NC_027117.1_env_10	gb|CM014255.2|	208367571	208366091	minus	95.412	91	GCA_004126475.3_derv_env	208365591	208368071
NC_027117.1_gag_4	gb|CM014255.2|	208370279	208368096	minus	93.97	100	GCA_004126475.3_derv_gag	208367596	208370779
NC_027117.1_LTR_12	gb|CM014256.2|	90528068	90527220	minus	88.719	55	GCA_004126475.3_derv_ltr	90526720	90528568
NC_027117.1_LTR_1	gb|CM014256.2|	90529021	90528635	minus	93.35	100	GCA_004126475.3_derv_ltr	90528135	90529521
NC_027117.1_gag_4	gb|CM014257.2|	130477268	130479239	plus	94.732	90	GCA_004126475.3_derv_gag	130476768	130479739
NC_027117.1_env_10	gb|CM014257.2|	130479221	130480295	plus	95.256	61	GCA_004126475.3_derv_env	130478721	130480795
NC_027117.1_gag_4	gb|CM014257.2|	130487646	130489618	plus	94.684	90	GCA_004126475.3_derv_gag	130487146	130490118
NC_027117.1_env_10	gb|CM014257.2|	130489600	130490674	plus	95.163	61	GCA_004126475.3_derv_env	130489100	130491174
NC_027117.1_gag_4	gb|CM014257.2|	130498026	130499995	plus	94.428	90	GCA_004126475.3_derv_gag	130497526	130500495
NC_027117.1_env_10	gb|CM014257.2|	130499977	130501051	plus	95.256	61	GCA_004126475.3_derv_env	130499477	130501551
NC_027117.1_gag_4	gb|CM014260.2|	166215	168368	plus	92.41	100	GCA_004126475.3_derv_gag	165715	168868
NC_027117.1_env_10	gb|CM014260.2|	168893	170373	plus	95.614	84	GCA_004126475.3_derv_env	168393	170873
NC_027117.1_gag_4	gb|CM014260.2|	85002113	85004296	plus	93.921	100	GCA_004126475.3_derv_gag	85001613	85004796
NC_027117.1_pol_8	gb|CM014262.2|	62401928	62399563	minus	96.45	98	GCA_004126475.3_derv_pol	62399063	62402428
NC_027117.1_complete	gb|CM014262.2|	62405427	62399563	minus	94.481	56	GCA_004126475.3_derv_complete	62399063	62405927
NC_027117.1_gag_4	gb|CM014262.2|	62405099	62402920	minus	93.151	100	GCA_004126475.3_derv_gag	62402420	62405599
NC_027117.1_gag_4	gb|CM014263.2|	68809347	68811534	plus	94.653	100	GCA_004126475.3_derv_gag	68808847	68812034
NC_027117.1_pol_8	gb|CM014263.2|	68811914	68813723	plus	96.374	75	GCA_004126475.3_derv_pol	68811414	68814223
NC_027117.1_env_10	gb|CM014263.2|	68813758	68815525	plus	95.706	100	GCA_004126475.3_derv_env	68813258	68816025
NC_027117.1_env_10	gb|CM014265.2|	17614006	17612530	minus	95.682	84	GCA_004126475.3_derv_env	17612030	17614506
NC_027117.1_gag_4	gb|CM014265.2|	17616740	17614531	minus	93.583	100	GCA_004126475.3_derv_gag	17614031	17617240
NC_027117.1_gag_4	gb|CM014266.2|	74404933	74407140	plus	93.614	100	GCA_004126475.3_derv_gag	74404433	74407640
NC_027117.1_env_10	gb|CM014266.2|	74407665	74409145	plus	95.816	84	GCA_004126475.3_derv_env	74407165	74409645
NC_027117.1_pol_8	gb|CM014267.2|	2703617	2701262	minus	96.095	97	GCA_004126475.3_derv_pol	2700762	2704117
NC_027117.1_complete	gb|CM014267.2|	2707140	2701262	minus	93.955	56	GCA_004126475.3_derv_complete	2700762	2707640
NC_027117.1_gag_4	gb|CM014267.2|	2706798	2704609	minus	92.315	100	GCA_004126475.3_derv_gag	2704109	2707298
NC_027117.1_env_10	gb|CM014267.2|	50727809	50726329	minus	95.479	84	GCA_004126475.3_derv_env	50725829	50728309
NC_027117.1_gag_4	gb|CM014267.2|	50730522	50728335	minus	94.744	100	GCA_004126475.3_derv_gag	50727835	50731022
NC_027117.1_gag_4	gb|CM040274.1|	9767271	9769457	plus	99.406	100	GCA_022682395.2_derv_gag	9766771	9769957
NC_027117.1_env_10	gb|CM040274.1|	9770549	9771638	plus	99.541	100	GCA_022682395.2_derv_env	9770049	9772138
NC_027117.1_env_10	gb|CM040274.1|	31260096	31261185	plus	99.45	100	GCA_022682395.2_derv_env	31259596	31261685
NC_027117.1_LTR_12	gb|CM040274.1|	89576261	89574720	minus	98.9	100	GCA_022682395.2_derv_ltr	89574220	89576761
NC_027117.1_env_10	gb|CM040274.1|	89578052	89576262	minus	98.325	100	GCA_022682395.2_derv_env	89575762	89578552
NC_027117.1_gag_4	gb|CM040274.1|	89580381	89578972	minus	99.22	100	GCA_022682395.2_derv_gag	89578472	89580881
NC_027117.1_LTR_1	gb|CM040274.1|	89582586	89582196	minus	100.0	100	GCA_022682395.2_derv_ltr	89581696	89583086
NC_027117.1_complete	gb|CM040274.1|	104580796	104589430	plus	98.868	82	GCA_022682395.2_derv_complete	104580296	104589930
NC_027117.1_gag_4	gb|CM040274.1|	104581360	104583546	plus	99.543	100	GCA_022682395.2_derv_gag	104580860	104584046
NC_027117.1_pol_8	gb|CM040274.1|	104584535	104586952	plus	99.256	100	GCA_022682395.2_derv_pol	104584035	104587452
NC_027117.1_env_10	gb|CM040274.1|	104586987	104588751	plus	98.814	100	GCA_022682395.2_derv_env	104586487	104589251
