calJac240_pri	GCA_049354715.1	GCF_049354715.1	Callithrix jacchus					240	male		Chromosome	2025-04-08	JBLWJF01	24
NDDB_SH_1	GCA_019923935.1	GCF_019923935.1	Bubalus bubalis	Murrah				160015118507	female		Chromosome	2021-09-10	VDCB01	25
Bosgru_T2T1.0	GCA_055505025.1	GCF_055505025.1	Bos grunniens			Pamir		PY7600			Chromosome	2026-02-24	JBTWXA01	30
NHGRI_mPanTro3-v2.1_pri	GCA_028858775.3	GCF_028858775.2	Pan troglodytes					AG18354	male		Chromosome	2024-12-09	JAQQLN02	25
HU_Pman_BW_mat_3.1	GCA_049852395.1	GCF_049852395.1	Peromyscus maniculatus bairdii					BWxNUB_F1_BW_parent	female		Chromosome	2025-04-22	JBMNXS01	24
ASM5500010v1	GCA_055000105.1	GCF_055000105.1	Myodes glareolus					2345	female		Chromosome	2026-02-04		28
NHGRI_mGorGor1-v2.1_pri	GCA_029281585.3	GCF_029281585.2	Gorilla gorilla gorilla					KB3781	male		Chromosome	2024-08-01	JARGGP02	25
NHGRI_mPonPyg2-v2.1_pri	GCA_028885625.3	GCF_028885625.2	Pongo pygmaeus					AG05252	male		Chromosome	2024-01-08	JAQQLS02	25
ASM4859323v1	GCA_048593235.1	GCF_048593235.1	Sminthopsis crassicaudata					SCR6	female		Chromosome	2025-03-17	JBMDME01	7
UCONN_HLeu1	GCA_047372625.1		Hoolock leuconedys					Betty	female		Chromosome	2025-02-03	JBHMFN01	19
ASM4749690v1	GCA_047496905.1		Tamias sibiricus					Ts-1	male		Chromosome	2025-02-07	JBKZWZ01	19
NHGRI_mSymSyn1-v2.1_pri	GCA_028878055.3	GCF_028878055.3	Symphalangus syndactylus					Jambi	male		Chromosome	2024-06-20	JAQQLG02	26
ASM5194280v1	GCA_051942805.1		Lepus tolai	LTO_1					male		Chromosome	2025-08-12	JBPRAB01	25
ASM5946939v1	GCA_059469395.1		Acomys dimidiatus				Jordan	SL-2024	female		Chromosome	2026-07-16	JBNCOH01	19
ASM4859324v1	GCA_048593245.1		Dasyurus maculatus					Chaos	male		Chromosome	2025-03-17	JBMDMB01	6
ASM2622585v1	GCA_026225855.1		Neophocaena sunameri					NAS202207	male		Chromosome	2022-11-18	JANJGR01	23
mAcoKem2_REL_1905	GCA_907164505.1		Acomys kempi								Chromosome	2021-07-06		19
GRCm39	GCA_000001635.9	GCF_000001635.27	Mus musculus		C57BL/6J						Chromosome	2020-06-24		101
GRCr8	GCA_036323735.1	GCF_036323735.1	Rattus norvegicus		BN/NHsdMcwi				male		Chromosome	2024-01-31	JAXUCZ01	76
Sscrofa_HxYL_maternal_Yorkshire_Landrace_v2.0	GCA_054392235.2	GCF_054392235.1	Sus scrofa					SSC_HxYL_T2T_F1_AM1	male		Chromosome	2026-01-28	JBREVY02	37
ARS-UCD2.0	GCA_002263795.4	GCF_002263795.3	Bos taurus	Hereford				L1 Dominette 01449 registration number 42190680	female		Chromosome	2023-07-01	NKLS02	1957
UU_Cfam_GSD_1.0	GCA_011100685.1	GCF_011100685.1	Canis lupus familiaris	German Shepherd				Mischka	female		Chromosome	2020-03-10	JAAHUQ01	2197
mCanLup2.hap1	GCA_048164855.1	GCF_048164855.1	Canis lupus baileyi					mCanLup2	male		Chromosome	2025-02-27	JBLSAG01	249
ARS-UI_Ramb_v3.0	GCA_016772045.2	GCF_016772045.2	Ovis aries	Rambouillet	OAR_USU_Benz2616				female		Chromosome	2023-07-20	JAEVFA01	142
ARS1.2	GCA_001704415.2	GCF_001704415.2	Capra hircus	San Clemente					male		Chromosome	2016-08-24	LWLT01	29885
mOryCun1.1	GCA_964237555.1	GCF_964237555.1	Oryctolagus cuniculus								Chromosome	2024-08-31	CAXSJQ01	221
TB-T2T	GCA_041296265.1	GCF_041296265.1	Equus caballus	thoroughbred				H_3958	female		Chromosome	2024-08-16	JBFNWK01	624
F.catus_Fca126_mat1.0	GCA_018350175.1	GCF_018350175.1	Felis catus					Fca126	female		Chromosome	2021-05-13	JAFEKA01	70
CriGri-PICRH-1.0	GCA_003668045.2	GCF_003668045.3	Cricetulus griseus		17A/GY				female		Chromosome	2020-06-11	RAZU02	647
mChlSab1.0.hap1	GCA_047675955.1	GCF_047675955.1	Chlorocebus sabaeus					Y175	female		Chromosome	2025-02-12	JBLKOC01	1654
NIAB-ARS_B.indTharparkar_mat_pri_1.0	GCA_029378745.1	GCF_029378745.1	Bos indicus	Sahiwal x Tharparkar				NIAB-ARS_2022	female		Chromosome	2023-03-24	JAPFIJ01	67
Rrattus_CSIRO_v1	GCA_011064425.1	GCF_011064425.1	Rattus rattus					New Zealand	male		Chromosome	2020-03-04	JAAIVD01	2172
mMonDom1.pri	GCA_027887165.2	GCF_027887165.2	Monodelphis domestica					mMonDom1	male		Chromosome	2026-02-24	JAQIHD02	13
Panubis1.1	GCA_008728515.2		Papio anubis					15944	male		Chromosome	2022-04-27	VSMJ02	11149
mMacNem.hap1	GCA_043159975.1	GCF_043159975.1	Macaca nemestrina					mMacNem1	male		Chromosome	2024-10-15	JBHNYF01	361
mIctTri1.hap1	GCA_052094955.1	GCF_052094955.1	Ictidomys tridecemlineatus					mIctTri1	male		Chromosome	2025-08-18	JBPVTT01	5279
EquAss-T2T_v2	GCA_041296235.2	GCF_041296235.1	Equus asinus	Donkey				D_3611	male		Chromosome	2024-12-12	JBFNWJ02	848
ASM200744v3	GCA_002007445.3	GCF_002007445.2	Ailuropoda melanoleuca					Jingjing	female		Chromosome	2020-04-20	LNAT02	73513
ASM4877302v1	GCA_048773025.1	GCF_048773025.1	Camelus bactrianus	Bactrian camel				YW-2024	female		Chromosome	2025-03-21	JBLYYY01	157
mTurTru1.mat.Y	GCA_011762595.2	GCF_011762595.2	Tursiops truncatus					mTurTru1	male		Chromosome	2024-12-12	JAAOMD01	361
mRhiFer1_v1.p	GCA_004115265.3	GCF_004115265.2	Rhinolophus ferrumequinum					MPI-CBG mRhiFer1	female		Chromosome	2019-05-17	RXPC01	134
mEleMax1 primary haplotype	GCA_024166365.1	GCF_024166365.1	Elephas maximus indicus					mEleMax1	male		Chromosome	2022-07-06	JAMZQU01	64
mCamDro1.pat	GCA_036321535.1	GCF_036321535.1	Camelus dromedarius					mCamDro1	male		Chromosome	2024-01-31	JAZARU01	171
mMacEug1.pri_v2	GCA_028372415.2	GCF_028372415.1	Notamacropus eugenii					mMacEug1	male		Chromosome	2023-02-06	JAQOLO01	272
MicOch1.0	GCA_000317375.1	GCF_000317375.1	Microtus ochrogaster					Prairie Vole_2	female		Chromosome	2012-12-07	AHZW01	6450
VicPac4	GCA_048564905.1	GCF_048564905.1	Vicugna pacos	huacaya				Carlotta	female		Chromosome	2025-03-12	JBLVOU01	519
ASM4008512v1	GCA_040085125.1		Cervus nippon					HPL2020	male		Chromosome	2024-06-07	JAYKZF01	51
P.tigris_Pti1_mat1.1	GCA_018350195.2	GCF_018350195.1	Panthera tigris					Pti1	female		Chromosome	2021-05-13	JAEQMW01	74
